track,date,race,post_position,horse_name,race_back,age_sex_restrictions,alt_comment_line,apprentice_wt_allow,bris_2f_pace_fig,bris_4f_pace_fig,bris_6f_pace_fig,bris_8f_pace_fig,bris_late_pace_fig,bris_race_shape_first_call,bris_race_shape_second_call,bris_speed_rating,bris_track_code,claim_trainer_switch_date,claim_trainer_switch_n1,claim_trainer_switch_n2,claim_trainer_switch_n3,claim_trainer_switch_n4,claim_trainer_switch_n5,claimed_code,claiming_price,days_since_prev_race,distance,entry,eqb_abbrev_race_conditions,equipment,extended_start_comment,favorite_indicator,final_time,finish_between_lengths,finish_between_lengths_only,finish_position,first_call_between_lengths,first_call_between_lengths_only,first_call_position,fraction_1,fraction_2,fraction_2f,fraction_3,fraction_4f,fraction_5f,fraction_6f,fraction_8f,front_bandages_indicator,gate_call_position,jockey,medication,money_position,num_entrants,odds,pp_post_position,prev_all_weather_surface_flag,purse,race_classification,race_date,race_name,race_num,race_type,restricted_qualifier_flag,sealed_track_indicator,second_call_between_lengths,second_call_between_lengths_only,second_call_position,second_place_margin,second_place_name,second_place_weight,speed_rating,start_call_between_lengths,start_call_between_lengths_only,start_call_position,statebred_flag,stretch_between_lengths,stretch_between_lengths_only,stretch_position,surface,third_place_margin,third_place_name,third_place_weight,track_code,track_condition,track_variant,trainer,trip_comment,weight,winner_margin,winner_name,winner_weight,target_FP,official_final_odds,year,target_top3,target_top5
CD,2017-05-06,12,11,BATTLE OF MIDWAY,3,BON,,,94,100,,,77,0,2,86,SA,,,,,,,,,22,1540,,SnVcnte-G2,,02-12-17 Pulled; 2 wide; stalked; in tight 4-1/2;3wd 1/4;held 3rd,1,81.62,8.00,8.00,3,1.00,1.00,4,21.89,44.08,21.89,68.52,44.08,,68.52,,0,4,SMITH M E,1,3,5,0.80,4,,200000,SnVcnte-G2,20170212,San Vicente S.,4,G2,,,2.25,2.25,5,4.50,LAW ABIDIN CITIZEN,122,85,,,4,,5.50,5.50,3,D,0.75,BATTLE OF MIDWAY,120,SA,FT,15,HOLLENDORFER JERRY,Pulled; in tight 4-1/2,120,3.50,ILIAD,120,3,40.0,2017,1,1
CD,2017-05-06,12,11,BATTLE OF MIDWAY,4,BON,,,94,99,,,87,-1,-1,91,SA,,,,,,,,,,1320,,MdSpWt,,01-21-17 Speed; dueled; btwn foes; 2wd turn;inched clear lane,0,69.09,3.25,,1,0.13,0.13,2,21.67,44.42,21.67,56.77,44.42,56.77,,,0,3,VAN DYKE DRAYDEN,1,1,7,3.40,3,,54000,MdSpWt,20170121,,7,S,,s,0.13,,1,2.50,PALMER'S WAY,122,92,,,3,,2.00,,1,D,0.06,CATS BLAME,122,SA,WF,10,HOLLENDORFER JERRY,Dueled;led;cleared,122,3.25,BATTLE OF MIDWAY,122,3,40.0,2017,1,1
CD,2017-05-06,12,12,SONNETEER,1,BON,,,69,71,75,,109,4,-1,94,OP,,,,,,,,,28,1980,,ArkDby-G1,,04-15-17 Lagged well back; 4-5w into lane; late interest midtrack,0,108.93,2.00,2.00,4,11.00,11.00,11,46.92,71.16,22.75,96.43,46.92,,71.16,96.43,0,11,DESORMEAUX K J,1,4,12,12.20,7,,1000000,ArkDby-G1,20170415,Arkansas Derby,11,G1,,,9.75,9.75,10,1.00,CONQUEST MO MONEY,122,93,12.00,12.00,11,,6.25,6.25,6,D,0.50,LOOKIN AT LEE,122,OP,FT,5,DESORMEAUX J KEITH,Lagged;4-5w1/4;too lte,118,0.50,CLASSIC EMPIRE,122,16,,2017,0,0
CD,2017-05-06,12,12,SONNETEER,2,BON,,,73,78,85,,99,2,2,93,OP,,,,,,,,,21,1870,,Rebel-G2,,03-18-17 Shuffled start; back 3w; dropped in 1/4; late run rail; up 2nd,0,103.00,2.00,2.00,2,6.75,6.75,10,23.03,47.04,23.03,71.35,47.04,,71.35,96.80,0,9,ERAMIA RICHARD E,1,2,11,112.30,3,,900000,Rebel-G2,20170318,Rebel S.,10,G2,,,6.25,6.25,8,0.06,SONNETEER,116,93,9.25,9.25,9,,2.00,2.00,4,D,0.06,UNTRAPPED,115,OP,FT,8,DESORMEAUX J KEITH,Shffld strt;up rail2nd,116,2.00,MALAGACY,115,16,,2017,0,0
CD,2017-05-06,12,12,SONNETEER,3,BON,,,82,87,,,94,-6,-7,88,SA,,,,,,,,,21,1540,,MdSpWt,,02-25-17 Chased; outside; 4 wide into stretch; edged foe 2nd,0,82.88,4.50,4.50,2,3.75,3.75,7,22.75,45.48,22.75,70.27,45.48,,70.27,,0,5,GONZALEZ SANTIAGO,1,2,9,10.00,7,,54000,MdSpWt,20170225,,7,S,,,4.25,4.25,8,0.50,SONNETEER,123,82,,,5,,3.00,3.00,2,D,4.25,PIONEER LAD,123,SA,FT,15,DESORMEAUX J KEITH,4wd str;edged foe 2nd,123,4.50,KIMBEAR,123,16,,2017,0,0
CD,2017-05-06,12,12,SONNETEER,4,BON,,,72,75,81,,82,-1,-2,81,SA,,,,,,,,,14,1870,,MdSpWt,,02-04-17 Saved ground 1st turn;chased inside;came out 1/4;clear 3rd,0,104.40,6.50,6.50,3,5.50,5.50,4,23.4,47.7,23.40,72.25,47.70,,72.25,97.94,0,6,DESORMEAUX K J,1,3,6,6.60,1,,54000,MdSpWt,20170204,,1,S,,,3.00,3.00,3,3.25,HONOR AND COURAGE,123,73,8.00,8.00,4,,4.00,4.00,3,D,6.25,SONNETEER,123,SA,FT,15,DESORMEAUX J KEITH,Came out 1/4;clear 3rd,123,3.25,REACH THE WORLD,123,16,,2017,0,0
CD,2017-05-06,12,12,SONNETEER,5,BON,,,76,77,82,,89,1,3,86,GG,,,,,,,,,55,1870,,CalDerbyL100k,,01-21-17 Trailed; 3wide; swung 6wide; no threat late,0,104.71,4.00,4.00,4,5.50,5.50,7,24.18,48.92,24.18,73.32,48.92,,73.32,98.43,0,7,CEDILLO ABEL,1,4,7,11.80,1,A,100000,CalDerbyL100k,20170121,California Derby,8,N,,,5.25,5.25,7,1.25,MORE POWER TO HIM,119,86,6.00,6.00,7,,2.50,2.50,5,D,2.00,COLONEL SAMSEN,122,GG,FT,23,DESORMEAUX J KEITH,Swung 6w; no threat,116,0.75,SO CONFLATED,117,16,,2017,0,0
CD,2017-05-06,12,12,SONNETEER,6,AON,,,67,67,79,,101,6,5,90,DMR,,,,,,,,,29,1760,,MdSpWt,,11-27-16 Off bit slow; dropped back; saved ground; came out str;rallied,0,99.38,1.25,1.25,2,13.00,13.00,7,23.08,47.58,23.08,73.04,47.58,,73.04,,0,7,DESORMEAUX K J,1,2,7,5.40,5,,52000,MdSpWt,20161127,,4,S,,,8.50,8.50,5,2.50,SONNETEER,122,77,12.00,12.00,7,,7.00,7.00,4,D,0.75,SEAU,122,DMR,GD,24,DESORMEAUX J KEITH,Off bit slow;rallied,122,1.25,ROYAL MO,122,16,,2017,0,0
CD,2017-05-06,12,12,SONNETEER,7,AON,,,75,74,75,,89,-6,-5,82,SA,,,,,,,,,21,1870,,MdSpWt,,10-29-16 Chased; btwn foes; inside;came out 1/4;4wd into str;willingly,1,105.32,2.75,2.75,3,2.50,2.50,8,23.71,48.5,23.71,73.14,48.50,,73.14,98.68,0,4,DESORMEAUX K J,1,3,9,2.50,7,,52000,MdSpWt,20161029,,7,S,,,2.25,2.25,5,1.00,TROUBLEWITHATEE,120,73,5.75,5.75,8,,2.50,2.50,4,D,1.25,SONNETEER,120,SA,FT,24,DESORMEAUX J KEITH,4wd into str;willingly,120,1.75,SHOW ME DA LUTE,120,16,,2017,0,0
CD,2017-05-06,12,12,SONNETEER,8,AON,,,76,72,74,,88,8,5,78,SA,,,,,,,,,48,1760,,MdSpWt,,10-08-16 Settled; inside; came out 2nd turn;5wd into str;bid 6wd;3wd wire,0,98.98,0.06,0.06,2,9.25,9.25,9,22.75,46.79,22.75,72.25,46.79,,72.25,,0,7,ESPINOZA V,1,2,9,9.10,2,,52000,MdSpWt,20161008,,3,S,,,5.50,5.50,9,0.13,SONNETEER,120,78,8.00,8.00,8,,0.25,0.25,4,D,0.50,CAMINO DE ESTRELLA,120,SA,FT,22,DESORMEAUX J KEITH,5wd into str;3wd wire,120,0.06,TERM OF ART,120,16,,2017,0,0
CD,2017-05-06,12,12,SONNETEER,9,AON,,,77,81,,,91,0,0,79,DMR,,,,,,,,,22,1320,,MdSpWt,,08-21-16 Settled; outside; 2 wide turn;3wd into lane;edged for show,0,70.55,2.50,2.50,4,8.25,8.25,6,22.2,45.44,22.20,57.87,45.44,57.87,,,0,2,DESORMEAUX K J,1,4,9,14.40,9,,63000,MdSpWt,20160821,,7,S,,,6.75,6.75,6,1.25,ROYAL MO,120,87,,,2,,5.00,5.00,5,D,0.50,HONOR AND COURAGE,120,DMR,FT,7,DESORMEAUX J KEITH,3wd into str;edged 3rd,120,0.75,IRISH FREEDOM,120,16,,2017,0,0
CD,2017-05-06,12,12,SONNETEER,10,AON,,,77,73,,,92,-3,-10,73,DMR,,,,,,,,,,1210,,MdSpWt,,07-30-16 Bit tight early; settled; off rail; 4 wide into lane;no rally,0,63.48,8.50,8.50,7,7.50,7.50,8,22.01,45.36,22.01,57.14,45.36,57.14,,,0,5,DESORMEAUX K J,1,7,8,23.60,4,,63000,MdSpWt,20160730,,3,S,,,9.25,9.25,8,2.50,WHAT'SONTHEAGENDA,120,88,,,5,,11.00,11.00,8,D,0.50,BLAME JOE,120,DMR,FT,3,DESORMEAUX J KEITH,Tight early;4wd lane,120,3.25,BIG LEAGUE,120,16,,2017,0,0
CD,2017-05-06,12,13,J BOYS ECHO,1,BON,,,86,85,92,,91,1,-1,93,KEE,,,,,,,,,35,1980,,BluGrs-G2,,04-08-17 Bobbled st; bmpd; back early 3pth; bmpd around far turn,0,110.39,6.25,6.25,4,4.25,4.25,6,48.34,72.36,23.79,97.35,48.34,,72.36,97.35,0,5,ALBARADO R J,1,4,7,5.30,3,,1000000,BluGrs-G2,20170408,Toyota Blue Grass S.,10,G2,,,3.75,3.75,7,3.00,PRACTICAL JOKE,123,81,4.00,4.00,7,,5.00,5.00,4,D,2.50,MCCRAKEN,123,KEE,FT,14,ROMANS DALE,Bobbled; bmpd start,123,0.75,IRAP,123,15,,2017,0,0
CD,2017-05-06,12,13,J BOYS ECHO,2,BON,,,90,94,103,,101,14,3,104,AQU,,,,,,,,,28,1870,,Gotham-G3,,03-04-17 Saved grd mid pack; angled 4w 5/16; 4-3w upper; edged clear,0,106.34,3.50,,1,7.00,7.00,4,23.58,47.7,23.58,73.59,47.70,,73.59,99.57,0,2,ALBARADO R J,1,1,7,6.40,1,,300000,Gotham-G3,20170304,Gotham S.,8,G3,,,2.00,2.00,4,7.50,CLOUD COMPUTING,116,83,3.50,3.50,4,,1.50,,1,d,0.50,EL AREEB,123,AQU,FT,22,ROMANS DALE,4-3w uppr; edged clear,118,3.50,J BOYS ECHO,118,15,,2017,0,0
