track,date,race,post_position,horse_name,race_back,age_sex_restrictions,alt_comment_line,apprentice_wt_allow,bris_2f_pace_fig,bris_4f_pace_fig,bris_6f_pace_fig,bris_8f_pace_fig,bris_late_pace_fig,bris_race_shape_first_call,bris_race_shape_second_call,bris_speed_rating,bris_track_code,claim_trainer_switch_date,claim_trainer_switch_n1,claim_trainer_switch_n2,claim_trainer_switch_n3,claim_trainer_switch_n4,claim_trainer_switch_n5,claimed_code,claiming_price,days_since_prev_race,distance,entry,eqb_abbrev_race_conditions,equipment,extended_start_comment,favorite_indicator,final_time,finish_between_lengths,finish_between_lengths_only,finish_position,first_call_between_lengths,first_call_between_lengths_only,first_call_position,fraction_1,fraction_2,fraction_2f,fraction_3,fraction_4f,fraction_5f,fraction_6f,fraction_8f,front_bandages_indicator,gate_call_position,jockey,medication,money_position,num_entrants,odds,pp_post_position,prev_all_weather_surface_flag,purse,race_classification,race_date,race_name,race_num,race_type,restricted_qualifier_flag,sealed_track_indicator,second_call_between_lengths,second_call_between_lengths_only,second_call_position,second_place_margin,second_place_name,second_place_weight,speed_rating,start_call_between_lengths,start_call_between_lengths_only,start_call_position,statebred_flag,stretch_between_lengths,stretch_between_lengths_only,stretch_position,surface,third_place_margin,third_place_name,third_place_weight,track_code,track_condition,track_variant,trainer,trip_comment,weight,winner_margin,winner_name,winner_weight,target_FP,official_final_odds,year,target_top3,target_top5
CD,2022-05-07,12,14,BARBER ROAD,3,BON,,,72,87,96,,86,11,10,92,OP,,,,,,,,,28,1870,,Southwst-G3,b,01-29-22 Broke back; 5w 7/8; 4w 2nd turn; rallied midtrack; 2nd best,0,105.83,1.50,1.50,2,6.25,6.25,10,23.07,47.32,23.07,72.42,47.32,,72.42,99.28,0,11,SANTANA RICARDO JR,0,2,12,11.80,8,,750000,Southwst-G3,20220129,Southwest S.,9,G3,,,3.75,3.75,7,1.25,BARBER ROAD,117,78,12.00,12.00,11,,2.25,2.25,5,D,2.75,BEN DIESEL,117,OP,FT,22,ORTIZ JOHN ALEXANDER,5w 7/8;4w 2nd;2nd best,117,1.50,NEWGRANGE,122,6,60.4,2022,0,0
CD,2022-05-07,12,14,BARBER ROAD,4,BON,,,86,95,98,,79,20,11,88,OP,,,,,,,,,35,1760,,SmrtyJnsL250k,b,01-01-22 Brk in; midpack; asked along 2nd turn; traffic; up late 2nd,0,99.44,2.00,2.00,2,6.25,6.25,6,23.03,46.38,23.03,72.34,46.38,,72.34,,0,6,GUTIERREZ REYLU,0,2,13,8.50,10,,250000,SmrtyJnsL250k,20220101,Smarty Jones S.,9,N,,s,1.75,1.75,5,1.00,BARBER ROAD,117,80,5.00,5.00,5,,1.50,1.50,3,D,0.06,IGNITIS,117,OP,SY,21,ORTIZ JOHN ALEXANDER,3w;traffic;up late 2nd,117,2.00,DASH ATTACK,119,6,60.4,2022,0,0
CD,2022-05-07,12,14,BARBER ROAD,5,AON,,,90,96,,,92,-3,-4,93,CD,,,,,,,,,17,1430,,LvlyShvlyB200k,b,11-27-21 Raced btw early; 5p into lane; bid 3wd 1/8;lng drv 1/16; gave in,0,76.82,0.50,0.50,2,1.00,1.00,3,22.96,46.01,22.96,70.41,46.01,,70.41,,0,1,GAFFALIONE TYLER,0,2,6,9.30,5,,200000,LvlyShvlyB200k,20211127,Lively Shively S.,9,N,,,1.00,1.00,3,1.75,BARBER ROAD,122,90,,,1,,0.50,0.50,2,D,1.50,COOL PAPA G,122,CD,FT,13,ORTIZ JOHN ALEXANDER,Long drv 1/16; gave in,122,0.50,TEJANO TWIST,122,6,60.4,2022,0,0
CD,2022-05-07,12,14,BARBER ROAD,6,AON,,,85,86,,,89,-6,-9,84,CD,,,,,,,,,27,1430,,Alw30000s,b,11-10-21 Pressed 2wd; vied turn; took over 1/4; drew off 1/8,1,77.04,6.25,,1,1.00,1.00,2,23.19,46.49,23.19,70.75,46.49,,70.75,,0,2,GUTIERREZ REYLU,0,1,5,2.00,4,,67000,Alw30000s,20211110,,6,R,,,0.13,,1,0.13,JESUIT,120,90,,,2,,2.50,,1,D,5.00,BARSTOW,120,CD,FT,13,ORTIZ JOHN ALEXANDER,Press 2wd;took over1/4,122,6.25,BARBER ROAD,122,6,60.4,2022,0,0
CD,2022-05-07,12,14,BARBER ROAD,7,AON,,,84,70,74,,94,-14,-10,84,KEE,,,,,,,,30000,72,1870,,Md30000,b,10-14-21 2p 1st turn; set pace; ins into lane; repelled foe; widened late,0,105.35,3.75,,1,0.50,,1,24.1,49.76,24.10,74.46,49.76,,74.46,99.15,0,2,GUTIERREZ REYLU,0,1,7,5.60,2,,35000,Md30000,20211014,,4,M,,,0.13,,1,8.50,LEMONADEATTHELATCH,119,77,0.50,,1,,0.13,,1,D,2.00,LOONSHOT,119,KEE,FT,26,ORTIZ JOHN ALEXANDER,Repelled foe; widened,119,3.75,BARBER ROAD,119,6,60.4,2022,0,0
CD,2022-05-07,12,14,BARBER ROAD,8,AON,,,81,,,,72,,,63,CNL,,,,,,,,,,1100,,MdSpWt,,08-03-21 3wd into stretch; no threat,0,57.26,12.25,12.25,4,4.75,4.75,6,22.53,45.44,22.53,,45.44,,,,0,6,GUTIERREZ REYLU,0,4,6,5.90,5,,50000,MdSpWt,20210803,,3,S,,,6.25,6.25,6,5.25,SURFER DUDE,119,90,,,6,,7.00,7.00,4,D,4.00,RULING FRONT,119,CNL,FT,-1,ORTIZ JOHN ALEXANDER,3wd upper;no threat,119,3.00,TEJANO TWIST,119,6,60.4,2022,0,0
CD,2022-05-07,12,15,WHITE ABARRIO,1,BON,,,86,96,110,,77,11,18,96,GP,,,,,,,,,56,1980,,FlaDerby-G1,,04-02-22 Settled 3wd; 4wd bid far turn; led nearing 1/8; drove clear,0,110.64,1.25,,1,2.25,2.25,5,47.24,70.68,23.67,96.55,47.24,,70.68,96.55,0,5,GAFFALIONE TYLER,0,1,11,2.90,7,,1000000,FlaDerby-G1,20220402,Curlin Florida Derby Presented by Hill 'n' Dale Farms at Xalapa,14,G1,,,1.50,1.50,3,1.00,CHARGE IT,122,85,2.50,2.50,5,,0.13,,1,D,3.50,SIMPLIFICATION,122,GP,FT,13,JOSEPH SAFFIE A JR,3-4w;up 1/8;drift 1/16,122,1.25,WHITE ABARRIO,122,16,15.4,2022,0,0
CD,2022-05-07,12,15,WHITE ABARRIO,2,BON,,,87,98,96,,95,8,0,97,GP,,,,,,,,,70,1870,,HolyBull-G3,,02-05-22 Pressed pace outside; took over top stretch; drew off driving,0,102.80,4.50,,1,0.50,0.50,2,23.93,47.31,23.93,72.01,47.31,,72.01,96.45,0,3,GAFFALIONE TYLER,0,1,9,6.00,8,,250000,HolyBull-G3,20220205,Holy Bull S.,11,G3,,,0.13,0.13,2,0.13,SIMPLIFICATION,122,91,1.50,1.50,2,,2.50,,1,D,1.00,MO DONEGAL,124,GP,FT,9,JOSEPH SAFFIE A JR,Press2w;bid6f;drew off,120,4.50,WHITE ABARRIO,120,16,15.4,2022,0,0
CD,2022-05-07,12,15,WHITE ABARRIO,3,AON,,,87,81,90,,91,-6,-7,91,CD,,,,,,,,,29,1870,,KyJC-G2,,11-27-21 Stalked pace ins; 3p into lane; altered out;came again for show,0,103.94,6.00,6.00,3,1.50,1.50,3,23.95,48.94,23.95,73.25,48.94,,73.25,97.70,0,6,ZAYAS EDGARD J,0,3,11,6.70,8,,400000,KyJC-G2,20211127,Kentucky Jockey Club S.,11,G2,,,0.75,0.75,5,2.75,CLASSIC CAUSEWAY,122,80,2.00,2.00,3,,3.50,3.50,5,D,0.50,WHITE ABARRIO,122,CD,FT,21,JOSEPH SAFFIE A JR,Came again for show,122,3.25,SMILE HAPPY,122,16,15.4,2022,0,0
CD,2022-05-07,12,15,WHITE ABARRIO,4,AON,,,76,71,71,,112,-17,-20,91,GP,,,,,,,,,35,1760,,OC75000NW1X,,10-29-21 Sprinted clr; never challenged; drew off when ask; kept to task,1,96.74,4.00,,1,1.50,,1,25,48.38,25.00,73.11,48.38,,73.11,,0,1,ZAYAS EDGARD J,0,1,5,0.30,2,,52000,OC75000n1x,20211029,,2,AO,,,1.00,,1,5.50,STRIKE HARD,120,89,1.00,,1,,2.50,,1,D,3.25,GOD IS LOVE,118,GP,FT,11,JOSEPH SAFFIE A JR,Drew off when asked,120,4.00,WHITE ABARRIO,120,16,15.4,2022,0,0
CD,2022-05-07,12,15,WHITE ABARRIO,5,AON,,,95,104,,,88,2,1,96,GP,09/24/2021,76,6,11,10,-1.11,,,,1430,,MdSpWt,,09-24-21 Split horses midway turn; kicked clear upper stretch; driving,0,77.19,6.75,,1,1.50,1.50,4,22.3,45.18,22.30,70.35,45.18,,70.35,,0,8,ARROYO ANGEL S,0,1,11,12.30,1,,55000,MdSpWt,20210924,,4,S,,,0.13,0.13,2,2.00,LOGICO,118,90,,,8,,1.50,,1,D,1.75,CLASSICSTATEOFMIND,118,GP,FT,20,PEREZ CARLOS LUIS,Split foes; kicked clr,118,6.75,WHITE ABARRIO,118,16,15.4,2022,0,0
CD,2022-05-07,12,16,CYBERKNIFE,1,BON,,,92,94,97,,86,9,4,94,OP,,,,,,,,,42,1980,,ArkDerby-G1,,04-02-22 Settled; closer under a hold; bid btwn; shook clear; slight drift,0,110.42,2.75,,1,2.00,2.00,4,46.54,71.22,22.11,97.24,46.54,,71.22,97.24,0,5,GEROUX FLORENT,0,1,9,5.80,8,,1250000,ArkDerby-G1,20220402,Arkansas Derby,12,G1,,,0.13,0.13,2,0.75,BARBER ROAD,119,87,4.00,4.00,4,,2.50,,1,D,4.50,SECRET OATH,117,OP,FT,7,COX BRAD H,Early move btwn;drift,119,2.75,CYBERKNIFE,119,18,14.9,2022,0,0
CD,2022-05-07,12,16,CYBERKNIFE,2,BON,,,80,87,95,,91,0,2,94,FG,,,,,,,,,28,1870,,OC50000NW1X,,02-19-22 Stalked 3pth;bid 2w5/16;took over handily3/16;asked/mild shy1/8,1,102.53,3.00,,1,1.00,1.00,2,24.42,47.53,24.42,71.49,47.53,,71.49,96.15,0,2,GEROUX FLORENT,1,1,10,1.80,5,,55000,OC50000n1x,20220219,,8,AO,,,0.50,0.50,2,3.00,KUPUNA,119,101,1.50,1.50,3,,2.50,,1,D,0.75,STRAVA,119,FG,FT,2,COX BRAD H,3p;bid 2w5/16;took ovr,119,3.00,CYBERKNIFE,119,18,14.9,2022,0,0
CD,2022-05-07,12,16,CYBERKNIFE,3,BON,,,88,97,99,,65,15,7,81,FG,,,,,,,,,27,1870,,Lecomte-G3,b,01-22-22 Off pace 4wd; inched closer 5p2nd; flattened out upr,0,104.36,10.50,10.50,6,3.50,3.50,6,23.4,47.01,23.40,72.16,47.01,,72.16,97.71,0,7,GEROUX FLORENT,0,6,9,5.20,6,,200000,Lecomte-G3,20220122,Lecomte S.,14,G3,,,1.25,1.25,4,0.75,EPICENTER,122,81,5.50,5.50,6,,6.00,6.00,5,D,3.50,PAPPACAP,122,FG,FT,9,COX BRAD H,4w;inchd 5p2nd;flattnd,122,0.13,CALL ME MIDNIGHT,122,18,14.9,2022,0,0
CD,2022-05-07,12,16,CYBERKNIFE,4,AON,,,87,87,88,,84,6,2,86,FG,,,,,,,,,51,1870,,MdSpWt,,12-26-21 Stalked 3wd; bid 3/8; cleared 1/4; tired late; lasted,1,104.90,0.50,,1,2.00,2.00,3,24.18,48.13,24.18,72.94,48.13,,72.94,97.51,0,3,GEROUX FLORENT,1,1,9,0.50,6,,45000,MdSpWt,20211226,,13,S,,,0.50,,1,2.75,JEEPER,120,87,1.50,1.50,3,,2.50,,1,D,4.00,JEGO,120,FG,FT,9,COX BRAD H,3w;bid;cleard1/4;lastd,120,0.50,CYBERKNIFE,120,18,14.9,2022,0,0
CD,2022-05-07,12,16,CYBERKNIFE,5,AON,,,85,84,,,95,-5,-11,87,CD,,,,,,,,,41,1430,,MdSpWt,,11-05-21 Tracked pace;4p into lane;bid str;drifted out; lug in; not enough,1,76.68,0.50,0.50,2,2.00,2.00,3,23.05,46.53,23.05,70.35,46.53,,70.35,,0,4,GARCIA MARTIN,0,2,10,0.40,2,,120000,MdSpWt,20211105,,10,S,,,1.00,1.00,3,6.25,CYBERKNIFE,119,91,,,4,,1.00,1.00,2,D,0.75,KUPUNA,119,CD,FT,11,COX BRAD H,Bid;drift;lug;not enuf,119,0.50,CLASSIC MOMENT,119,18,14.9,2022,0,0
CD,2022-05-07,12,16,CYBERKNIFE,6,AON,(Placed 2nd through disqualification),,94,104,,,85,2,3,93,CD,,,,,,,,,,1320,,MdSpWt,b,09-25-21 Broke in; stalk 3wd; bid 5/16; led/bumpd foe upr; dueld; prevaild,1,69.64,0.50,,1,1.50,1.50,4,21.56,44.65,21.56,56.7,44.65,56.70,,,0,5,GARCIA MARTIN,0,2,9,1.20,5,,120000,MdSpWt,20210925,,7,S,,,0.13,,1,9.25,HOIST THE GOLD,119,89,,,5,,0.50,,1,D,2.75,COFFEE WITH ALEX,119,CD,FT,11,COX BRAD H,3w;bid;led/bmp foe upr,119,0.50,CYBERKNIFE,119,18,14.9,2022,0,0
CD,2022-05-07,12,17,CLASSIC CAUSEWAY,1,BON,,,91,100,107,,37,11,18,72,GP,,,,,,,,,21,1980,,FlaDerby-G1,,04-02-22 Set pace along rail; gave way readily 4-1/2,0,110.64,21.50,21.50,11,0.13,,1,47.24,70.68,23.67,96.55,47.24,,70.68,96.55,0,1,ORTIZ IRAD JR,0,11,11,3.70,2,,1000000,FlaDerby-G1,20220402,Curlin Florida Derby Presented by Hill 'n' Dale Farms at Xalapa,14,G1,,,3.00,3.00,5,1.00,CHARGE IT,122,64,0.50,,1,,12.00,12.00,11,D,3.50,SIMPLIFICATION,122,GP,FT,13,LYNCH BRIAN A,Rail; retreated,122,1.25,WHITE ABARRIO,122,11,78.9,2022,0,0
CD,2022-05-07,12,17,CLASSIC CAUSEWAY,2,BON,,,88,86,85,,94,-1,-5,90,TAM,,,,,,,,,28,1870,,TamDby-G2,,03-12-22 Broke sharply; dictated pace bit off rail in hand; roused clear,1,104.90,2.50,,1,1.00,,1,23.67,48.17,23.67,73.18,48.17,,73.18,98.40,0,1,ORTIZ IRAD JR,0,1,10,0.80,4,,400000,TamDby-G2,20220312,Lambholm South Tampa Bay Derby,11,G2,,,1.00,,1,0.25,GRANTHAM,118,85,1.00,,1,,1.50,,1,D,0.25,SHIPSATIONAL,118,TAM,GD,10,LYNCH BRIAN A,Pace in hand;rousd clr,118,2.50,CLASSIC CAUSEWAY,118,11,78.9,2022,0,0
CD,2022-05-07,12,17,CLASSIC CAUSEWAY,3,BON,,,97,98,97,,98,6,-2,99,TAM,,,,,,,,,77,1870,,SFDavis-G3,,02-12-22 Broke sharply; dictated pace inside; tipped out 3/16; drove clear,1,102.80,3.75,,1,0.13,0.13,2,22.66,46.67,22.66,71.51,46.67,,71.51,96.82,0,1,ORTIZ IRAD JR,0,1,12,1.60,3,,250000,SFDavis-G3,20220212,Sam F. Davis S.,10,G3,,,0.13,,1,1.00,SHIPSATIONAL,122,95,0.13,,1,,1.50,,1,D,1.75,VOLCANIC,118,TAM,FT,4,LYNCH BRIAN A,Dueled rail; drove clr,118,3.75,CLASSIC CAUSEWAY,118,11,78.9,2022,0,0
CD,2022-05-07,12,17,CLASSIC CAUSEWAY,4,AON,,,84,80,91,,95,-6,-7,94,CD,,,,,,,,,49,1870,,KyJC-G2,,11-27-21 Tracked pace; bid 3wd 1/4; 5p into lane; 3wd 1/8; no match late,1,103.94,3.25,3.25,2,2.00,2.00,4,23.95,48.94,23.95,73.25,48.94,,73.25,97.70,0,1,ROSARIO JOEL,0,2,11,1.40,1,,400000,KyJC-G2,20211127,Kentucky Jockey Club S.,11,G2,,,0.25,0.25,3,2.75,CLASSIC CAUSEWAY,122,83,3.50,3.50,4,,0.50,0.50,2,D,0.50,WHITE ABARRIO,122,CD,FT,21,LYNCH BRIAN A,Bid 3w1/4-1/8;no match,122,3.25,SMILE HAPPY,122,11,78.9,2022,0,0
CD,2022-05-07,12,17,CLASSIC CAUSEWAY,5,AON,,,99,103,100,,77,13,5,89,KEE,,,,,,,,,35,1870,,BrdrsFut-G1,,10-09-21 Broke out; set clear pace; no match 3/16; lost place late,1,103.78,4.75,4.75,3,1.50,,1,22.81,46.74,22.81,71.9,46.74,,71.90,97.52,0,3,ORTIZ JOSE L,0,3,13,1.90,13,,500000,BrdrsFut-G1,20211009,Claiborne Breeders' Futurity,9,G1,,,0.50,,1,0.50,DOUBLE THUNDER,122,80,1.50,,1,,2.00,2.00,2,D,1.25,CLASSIC CAUSEWAY,122,KEE,FT,20,LYNCH BRIAN A,Cleared;no match3/16,122,4.25,RATTLE N ROLL,122,11,78.9,2022,0,0
CD,2022-05-07,12,17,CLASSIC CAUSEWAY,6,AON,,,95,99,,,88,0,-2,93,SAR,,,,,,,,,,1540,,MdSpWt,,09-04-21 Coaxed st; lightly coaxed 2p; 2w 1/4p; drew off; with authority,0,82.67,6.50,,1,1.50,,1,22.59,45.48,22.59,69.78,45.48,,69.78,,0,4,ORTIZ JOSE L,0,1,8,13.60,2,,100000,MdSpWt,20210904,,7,S,,,1.50,,1,2.25,TRAFALGAR,119,89,,,4,,6.50,,1,D,1.25,BRIGADIER GENERAL,119,SAR,FT,8,LYNCH BRIAN A,Coax 2p;with authority,119,6.50,CLASSIC CAUSEWAY,119,11,78.9,2022,0,0
CD,2022-05-07,12,18,TAWNY PORT,1,BON,,,84,85,94,,85,5,9,90,KEE,,,,,,,,,14,1870,,Lexingtn-G3,,04-16-22 4wd 1st; shuffled backstr; roused far;4p upr;rally;drove past;clr,0,105.24,1.00,,1,3.75,3.75,8,23.85,48.01,23.85,72.45,48.01,,72.45,98.59,0,8,GEROUX FLORENT,0,1,11,5.10,9,,400000,Lexingtn-G3,20220416,Stonestreet Lexington S.,9,G3,,,2.25,2.25,5,1.50,MAJOR GENERAL,118,77,2.50,2.50,5,,1.50,1.50,3,D,1.00,IN DUE TIME,118,KEE,FT,24,COX BRAD H,Roused far;rally;clrd,118,1.00,TAWNY PORT,118,7,80.5,2022,0,0
CD,2022-05-07,12,18,TAWNY PORT,2,BON,04-02-22 Good position to the half; three wide bid pressed pace; no match,,78,88,94,,99,-2,-6,99,TP,,,,,,,,,42,1980,,JRSteaks-G3,,04-02-22 Good position to the half; three wide bid pressed pace; no match,0,108.60,2.25,2.25,2,1.50,1.50,4,47.06,71.38,23.25,95.89,47.06,,71.38,95.89,0,4,FRANCO MANUEL,0,2,12,3.70,5,A,600000,JRSteaks-G3,20220402,Jeff Ruby Steaks S.,12,G3,,,0.50,0.50,2,3.50,TAWNY PORT,123,99,2.50,2.50,5,,0.50,0.50,2,D,0.75,RICH STRIKE,123,TP,FT,4,COX BRAD H,3w bid; bested rest,123,2.25,TIZ THE BOMB,123,7,80.5,2022,0,0
CD,2022-05-07,12,18,TAWNY PORT,3,BON,,,85,91,91,,85,9,5,89,FG,,,,,,,,,43,1980,,RisenStr-G2,,02-19-22 Off beat slow;off pace ins;shuffled 5/16;trailed;6p1/4;stayed on,0,109.03,8.00,8.00,5,4.50,4.50,8,47.97,72.25,23.79,96.58,47.97,,72.25,96.58,0,8,GEROUX FLORENT,0,5,10,24.00,4,,400000,RisenStr-G2,20220219,Risen Star S. presented by Lamarque Ford,13,G2,,,5.50,5.50,9,0.50,SMILE HAPPY,122,93,5.00,5.00,7,,8.50,8.50,7,D,0.13,ZANDON,122,FG,FT,2,COX BRAD H,Ins;shuffld;6p1/4;stay,122,2.75,EPICENTER,122,7,80.5,2022,0,0
CD,2022-05-07,12,18,TAWNY PORT,4,BON,,,85,87,90,,84,16,8,86,TP,,,,,,,,,34,1760,,OC50000NW1X,,01-07-22 Bumped start; launched bid into stretch; led late gamely,0,97.86,0.25,,1,7.00,7.00,5,23.68,46.7,23.68,71.99,46.70,,71.99,,0,8,ESQUIVEL EMMANUEL,1,1,10,2.40,8,A,64000,OC50000n1x,20220107,,7,AO,,,1.75,1.75,4,0.75,ON THIN ICE,118,88,4.50,4.50,4,,1.00,1.00,2,D,0.25,LEGENDARY LORE,118,TP,FT,19,COX BRAD H,Bmpd st; led; gamely,122,0.25,TAWNY PORT,122,7,80.5,2022,0,0
CD,2022-05-07,12,18,TAWNY PORT,5,AON,,,73,68,68,,94,3,-2,79,TP,,,,,,,,,,1760,,MdSpWt,,12-04-21 No speed confidently handled; circled field; impressive effort,1,97.76,6.50,,1,8.50,8.50,10,23.68,47.55,23.68,72.55,47.55,,72.55,,0,7,ESQUIVEL EMMANUEL,0,1,12,2.10,3,A,62000,MdSpWt,20211204,,4,S,,,4.25,4.25,7,0.50,LEMONADEATTHELATCH,119,95,8.75,8.75,11,,0.50,,1,D,2.75,MASTER LEA,119,TP,FT,3,COX BRAD H,Impressive debut,119,6.50,TAWNY PORT,119,7,80.5,2022,0,0
CD,2022-05-07,12,19,ZOZOS,1,BON,,,87,90,93,,98,-3,-8,98,FG,,,,,,,,,43,2090,,LaDerby-G2,,03-26-22 Set pace ins foe-2pth; no match 1/8; 2nd best,0,114.38,2.50,2.50,2,0.50,,1,47.35,71.69,23.27,96.16,47.35,,71.69,96.16,0,4,GEROUX FLORENT,0,2,9,2.50,2,,1000000,LaDerby-G2,20220326,Twinspires.com Louisiana Derby,12,G2,,,0.50,,1,2.00,ZOZOS,122,101,1.00,,1,,1.50,1.50,2,D,3.50,PIONEER OF MEDINA,122,FG,FT,1,COX BRAD H,Ins;no match;2nd best,122,2.50,EPICENTER,122,10,48.7,2022,0,0
CD,2022-05-07,12,19,ZOZOS,2,BON,,,83,75,75,,111,-12,-19,94,OP,,,,,,,,,19,1870,,OC100000NW1$X,,02-11-22 Away in good order; pressed; dueled; shook clear; roused,0,104.40,10.25,,1,1.00,1.00,2,23.83,48.92,23.83,74.25,48.92,,74.25,98.34,0,3,GEROUX FLORENT,1,1,11,3.90,9,,100000,OC100000n1x,20220211,,8,AO,,,0.13,0.13,2,0.00,BAROSSA,119,87,1.50,1.50,2,,4.00,,1,D,2.00,ELUSIVE TARGET,117,OP,FT,15,COX BRAD H,Pressed;duel;roused,119,10.25,ZOZOS,119,10,48.7,2022,0,0
CD,2022-05-07,12,19,ZOZOS,3,BON,,,88,89,,,78,4,3,76,FG,,,,,,,,,,1320,,MdSpWt,,01-23-22 Tracked 4wd; ranged up upr; grind; left lead; late bid; up,0,71.06,0.50,,1,3.50,3.50,4,21.74,45.34,21.74,57.85,45.34,57.85,,,0,4,HERNANDEZ COLBY J,1,1,8,2.10,7,,52000,MdSpWt,20220123,,9,S,,,2.00,2.00,4,1.25,STAYED IN FOR HALF,122,87,,,4,,1.00,1.00,3,D,0.75,STRONG QUALITY,122,FG,FT,11,COX BRAD H,4wd;left lead;grind;up,122,0.50,ZOZOS,122,10,48.7,2022,0,0
CD,2022-05-07,12,2,HAPPY JACK,1,BON,,,82,83,96,,95,4,-1,97,SA,,,,,,,,,35,1980,,SADerby-G1,b,04-09-22 Off bit slow; inside; 2wide-inside; bested rest,0,108.46,12.25,12.25,3,9.50,9.50,5,46.7,70.97,22.75,95.86,46.70,,70.97,95.86,0,6,CEDILLO ABEL,0,3,6,26.80,1,,750000,SADerby-G1,20220409,RUNHAPPY Santa Anita Derby,6,G1,,,7.00,7.00,6,10.00,MESSIER,124,79,5.00,5.00,5,,9.50,9.50,5,D,0.25,HAPPY JACK,124,SA,FT,8,O'NEILL DOUG,Off bit slow;best rest,124,2.25,TAIBA,124,14,23.2,2022,0,0
CD,2022-05-07,12,2,HAPPY JACK,2,BON,,,90,90,98,,81,17,15,90,SA,,,,,,,,,27,1870,,SnFelipe-G2,,03-05-22 Broke well; dropped back; drifted into str; gained 3rd,0,103.98,10.50,10.50,3,10.00,10.00,3,22.66,45.9,22.66,70.46,45.90,,70.46,96.89,0,2,CEDILLO ABEL,0,3,7,26.30,1,,400000,SnFelipe-G2,20220305,San Felipe S.,6,G2,,,9.75,9.75,5,4.75,DOPPELGANGER,120,79,4.00,4.00,3,,13.00,13.00,3,D,5.00,HAPPY JACK,120,SA,FT,11,O'NEILL DOUG,Drftd into str;clr 3rd,120,5.75,FORBIDDEN KINGDOM,120,14,23.2,2022,0,0
CD,2022-05-07,12,2,HAPPY JACK,3,BON,,,84,86,87,,62,3,0,72,SA,,,,,,,,,15,1870,,RBLewis-G3,b,02-06-22 Settled inside; tipped 3wide into str; no menace,0,102.89,27.25,27.25,5,5.00,5.00,5,23.24,46.94,23.24,71.32,46.94,,71.32,96.32,0,5,CEDILLO ABEL,0,5,5,7.70,5,,200000,RBLewis-G3,20220206,Robert B. Lewis S.,8,G3,,,8.50,8.50,5,7.00,CABO SPIRIT,124,68,3.00,3.00,5,,17.00,17.00,5,D,4.50,WHARTON,120,SA,FT,8,O'NEILL DOUG,Ins;tip 3wd;no menace,120,15.00,MESSIER,120,14,23.2,2022,0,0
CD,2022-05-07,12,2,HAPPY JACK,4,BON,,,92,91,,,89,6,6,86,SA,,,,,,,,,,1320,,MdSpWt,b,01-22-22 Tracked off rail; 2wide; rallied; drove clear,0,71.07,1.25,,1,3.00,3.00,4,21.78,44.88,21.78,57.9,44.88,57.90,,,0,1,CEDILLO ABEL,1,1,8,24.40,6,,67000,MdSpWt,20220122,,8,S,,,5.50,5.50,5,0.75,BLETCHLEY PARK,122,82,,,1,,2.50,2.50,3,D,0.50,MIDNIGHT FURY,117,SA,FT,18,O'NEILL DOUG,Rallied; drove clear,122,1.25,HAPPY JACK,122,14,23.2,2022,0,0
CD,2022-05-07,12,21,RICH STRIKE,1,BON,,,67,78,79,,107,-2,-6,95,TP,,,,,,,,,28,1980,,JRSteaks-G3,b,04-02-22 No speed to far turn; rallied inside thru the stretch for show,0,108.60,5.75,5.75,3,6.75,6.75,11,47.06,71.38,23.25,95.89,47.06,,71.38,95.89,0,10,LEON SONNY,0,3,12,26.20,4,A,600000,JRSteaks-G3,20220402,Jeff Ruby Steaks S.,12,G3,,,7.75,7.75,11,3.50,TAWNY PORT,123,95,8.25,8.25,11,,3.50,3.50,5,D,0.75,RICH STRIKE,123,TP,FT,4,REED ERIC R,Ran up rail for show,123,2.25,TIZ THE BOMB,123,1,80.8,2022,1,1
CD,2022-05-07,12,21,RICH STRIKE,2,BON,,,72,79,80,,93,4,6,87,TP,,,,,,,,,42,1870,,JBttglaM-B125k,b,03-05-22 Off slow; inside trip to far turn; angled out to move up gamely,0,104.12,3.00,3.00,4,6.00,6.00,11,23.97,48.18,23.97,72.44,48.18,,72.44,97.62,0,7,LEON SONNY,0,4,12,20.60,2,A,125000,JBttglaM-B125k,20220305,John Battaglia Memorial S.,5,N,,,7.75,7.75,10,2.25,STOLEN BASE,118,88,9.25,9.25,11,,2.75,2.75,6,D,0.50,GRAEL,120,TP,FT,14,REED ERIC R,Angled out moved up,118,0.25,TIZ THE BOMB,124,1,80.8,2022,1,1
CD,2022-05-07,12,21,RICH STRIKE,3,BON,,,80,82,88,,89,5,5,88,TP,,,,,,,,,27,1760,,LeonatusB100k,b,01-22-22 No speed to far turn; rallied along late for show spot,0,99.70,3.25,3.25,3,5.50,5.50,8,24.57,48.76,24.57,73.8,48.76,,73.80,,0,9,LEON SONNY,0,3,10,8.40,7,A,100000,LeonatusB100k,20220122,Leonatus S.,5,N,,,4.25,4.25,7,1.25,TWENTY FOUR MAMBA,118,76,5.50,5.50,8,,4.00,4.00,4,D,0.75,RICH STRIKE,118,TP,FT,26,REED ERIC R,Along for show spot,118,2.00,ERASE,118,1,80.8,2022,1,1
